                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.2925,                0.86912,                 1.1295,                0.36208,                0.48714,                0.43032,                0.22258,                 1.7911,                 1.6254,                 1.1852,             0.00068402,             0.00068402,             0.00068402
                    127,                  1.235,                0.87137,                 1.1387,                0.36208,                0.48714,                0.43032,                0.22258,                 1.7911,                 1.6254,                 1.1852,             0.00068222,             0.00068222,             0.00068222
                    128,                 1.2376,                0.91576,                 1.1417,                0.36208,                0.48714,                0.43032,                0.22258,                 1.7911,                 1.6254,                 1.1852,             0.00068042,             0.00068042,             0.00068042
                    129,                 1.2673,                0.94782,                 1.1487,                0.36208,                0.48714,                0.43032,                0.22258,                 1.7911,                 1.6254,                 1.1852,             0.00067862,             0.00067862,             0.00067862
                    130,                 1.1701,                0.81972,                 1.1112,                0.40118,                0.47753,                0.46335,                0.22613,                 1.7534,                  1.539,                 1.1776,             0.00067682,             0.00067682,             0.00067682
                    131,                  1.178,                0.83109,                 1.0717,                0.40118,                0.47753,                0.46335,                0.22613,                 1.7534,                  1.539,                 1.1776,             0.00067502,             0.00067502,             0.00067502
                    132,                 1.1855,                0.83192,                 1.0613,                0.40118,                0.47753,                0.46335,                0.22613,                 1.7534,                  1.539,                 1.1776,             0.00067322,             0.00067322,             0.00067322
                    133,                 1.1337,                0.84118,                 1.0835,                0.40118,                0.47753,                0.46335,                0.22613,                 1.7534,                  1.539,                 1.1776,             0.00067142,             0.00067142,             0.00067142
                    134,                 1.1994,                0.84549,                 1.1227,                 0.4977,                 0.4381,                0.45487,                0.23749,                 1.7836,                 1.5161,                 1.2222,             0.00066962,             0.00066962,             0.00066962
                    135,                 1.1364,                0.85189,                 1.0996,                 0.4977,                 0.4381,                0.45487,                0.23749,                 1.7836,                 1.5161,                 1.2222,             0.00066782,             0.00066782,             0.00066782
                    136,                  1.266,                0.94145,                 1.1659,                 0.4977,                 0.4381,                0.45487,                0.23749,                 1.7836,                 1.5161,                 1.2222,             0.00066602,             0.00066602,             0.00066602
                    137,                 1.1089,                0.81548,                 1.1001,                 0.4977,                 0.4381,                0.45487,                0.23749,                 1.7836,                 1.5161,                 1.2222,             0.00066422,             0.00066422,             0.00066422
                    138,                 1.2188,                0.84391,                 1.1099,                0.39549,                0.43765,                0.45018,                0.22796,                 1.8978,                 1.5894,                 1.2853,             0.00066242,             0.00066242,             0.00066242
                    139,                 1.2629,                0.82339,                 1.1192,                0.39549,                0.43765,                0.45018,                0.22796,                 1.8978,                 1.5894,                 1.2853,             0.00066062,             0.00066062,             0.00066062
                    140,                 1.2607,                0.85527,                 1.1347,                0.39549,                0.43765,                0.45018,                0.22796,                 1.8978,                 1.5894,                 1.2853,             0.00065883,             0.00065883,             0.00065883
                    141,                 1.2308,                0.91212,                 1.1371,                0.39549,                0.43765,                0.45018,                0.22796,                 1.8978,                 1.5894,                 1.2853,             0.00065703,             0.00065703,             0.00065703
                    142,                 1.3225,                0.97502,                 1.1253,                0.46859,                0.40753,                0.37644,                0.19313,                 1.9996,                  1.696,                  1.284,             0.00065523,             0.00065523,             0.00065523
                    143,                 1.1397,                0.81057,                 1.1108,                0.46859,                0.40753,                0.37644,                0.19313,                 1.9996,                  1.696,                  1.284,             0.00065343,             0.00065343,             0.00065343
                    144,                 1.1743,                0.84164,                 1.0772,                0.46859,                0.40753,                0.37644,                0.19313,                 1.9996,                  1.696,                  1.284,             0.00065163,             0.00065163,             0.00065163
                    145,                 1.2074,                0.85047,                 1.0949,                0.46859,                0.40753,                0.37644,                0.19313,                 1.9996,                  1.696,                  1.284,             0.00064983,             0.00064983,             0.00064983
